Taille_mat;Run_ID;Acc
100000;0;0.75
100000;1;1.0
100000;2;1.0
100000;3;1.0
100000;4;1.0
100000;5;1.0
100000;6;1.0
100000;7;1.0
100000;8;1.0
100000;9;1.0
100000;10;1.0
100000;11;1.0
100000;12;0.6
100000;13;1.0
100000;14;1.0
100000;15;1.0
100000;16;1.0
100000;17;1.0
100000;18;1.0
100000;19;1.0
100000;20;1.0
100000;21;1.0
100000;22;1.0
100000;23;1.0
100000;24;1.0
100000;25;1.0
100000;26;1.0
100000;27;1.0
100000;28;1.0
100000;29;0.75
100000;30;1.0
100000;31;1.0
100000;32;1.0
100000;33;0.6
100000;34;1.0
100000;35;1.0
100000;36;1.0
100000;37;1.0
100000;38;1.0
100000;39;1.0
100000;40;1.0
100000;41;1.0
100000;42;1.0
100000;43;1.0
100000;44;0.75
100000;45;1.0
100000;46;1.0
100000;47;1.0
100000;48;0.75
100000;49;1.0
100000;50;1.0
100000;51;1.0
100000;52;1.0
100000;53;1.0
100000;54;1.0
100000;55;1.0
100000;56;1.0
100000;57;1.0
100000;58;1.0
100000;59;1.0
100000;60;1.0
100000;61;1.0
100000;62;1.0
100000;63;1.0
100000;64;1.0
100000;65;0.75
100000;66;1.0
100000;67;1.0
100000;68;1.0
100000;69;1.0
100000;70;1.0
100000;71;1.0
100000;72;1.0
100000;73;1.0
100000;74;1.0
100000;75;1.0
100000;76;1.0
100000;77;1.0
100000;78;1.0
100000;79;1.0
100000;80;1.0
100000;81;1.0
100000;82;1.0
100000;83;0.75
100000;84;1.0
100000;85;1.0
100000;86;1.0
100000;87;1.0
100000;88;1.0
100000;89;1.0
100000;90;1.0
100000;91;1.0
100000;92;1.0
100000;93;1.0
100000;94;1.0
100000;95;1.0
100000;96;1.0
100000;97;1.0
100000;98;1.0
100000;99;1.0
1000000;0;1.0
1000000;1;0.971428571429
1000000;2;1.0
1000000;3;0.971428571429
1000000;4;1.0
1000000;5;1.0
1000000;6;0.944444444444
1000000;7;0.971428571429
1000000;8;1.0
1000000;9;0.971428571429
1000000;10;1.0
1000000;11;1.0
1000000;12;1.0303030303
1000000;13;0.971428571429
1000000;14;1.0
1000000;15;1.0
1000000;16;0.971428571429
1000000;17;1.0
1000000;18;0.944444444444
1000000;19;1.0303030303
1000000;20;0.918918918919
1000000;21;1.0
1000000;22;0.971428571429
1000000;23;0.944444444444
1000000;24;0.971428571429
1000000;25;1.0
1000000;26;0.944444444444
1000000;27;1.0
1000000;28;1.0
1000000;29;1.0
1000000;30;0.971428571429
1000000;31;1.0303030303
1000000;32;1.0
1000000;33;1.0
1000000;34;1.0
1000000;35;1.0
1000000;36;1.0
1000000;37;0.944444444444
1000000;38;1.0
1000000;39;1.0
1000000;40;0.809523809524
1000000;41;1.0
1000000;42;1.0
1000000;43;1.0
1000000;44;1.0
1000000;45;1.0
1000000;46;1.0
1000000;47;0.971428571429
1000000;48;1.0
1000000;49;0.971428571429
1000000;50;0.971428571429
1000000;51;1.0
1000000;52;0.971428571429
1000000;53;1.0
1000000;54;1.0
1000000;55;0.809523809524
1000000;56;1.0
1000000;57;0.944444444444
1000000;58;1.0
1000000;59;1.0
1000000;60;0.971428571429
1000000;61;1.0
1000000;62;1.0
1000000;63;1.0
1000000;64;1.0
1000000;65;0.971428571429
1000000;66;0.944444444444
1000000;67;1.0
1000000;68;0.971428571429
1000000;69;1.0
1000000;70;1.0
1000000;71;1.0
1000000;72;0.944444444444
1000000;73;1.0
1000000;74;1.0
1000000;75;1.0
1000000;76;1.0
1000000;77;1.0
1000000;78;0.918918918919
1000000;79;0.944444444444
1000000;80;0.918918918919
1000000;81;0.944444444444
1000000;82;0.918918918919
1000000;83;0.918918918919
1000000;84;0.918918918919
1000000;85;0.918918918919
1000000;86;0.871794871795
1000000;87;0.918918918919
1000000;88;0.894736842105
1000000;89;0.944444444444
