NB_Thread;Run_ID;Eff
8;67;2.28993649243e-05
8;68;2.8770906859e-05
8;69;1.97482753173e-05
8;70;1.98917886696e-05
8;71;1.86846038864e-05
8;72;1.93548387097e-05
8;73;2.45483110762e-05
8;74;2.03771124273e-05
8;75;2.02626033393e-05
8;76;2.16875831357e-05
8;77;2.6854769407e-05
8;78;2.69842412031e-05
8;79;2.34492246123e-05
8;80;2.84500417267e-05
8;81;2.29906198271e-05
8;82;2.26545037153e-05
8;83;2.35537968721e-05
8;84;1.88130236292e-05
8;85;2.76834489886e-05
8;86;2.32716892143e-05
8;87;1.8107194592e-05
8;88;2.07710202725e-05
8;89;2.54047828738e-05
8;90;2.71837622327e-05
8;91;1.902008521e-05
8;92;2.35050770967e-05
8;93;2.72370714701e-05
8;94;1.9166879632e-05
8;95;2.44442995893e-05
8;96;1.90558463337e-05
8;97;2.28519195612e-05
8;98;2.62439638883e-05
8;99;2.04671979042e-05
16;0;1.84783679905e-05
16;1;1.90927142203e-05
16;2;1.51803424685e-05
16;3;1.74321309037e-05
16;4;1.87340760354e-05
16;5;2.0713654441e-05
16;6;2.25523213856e-05
16;7;1.78460952744e-05
16;8;1.61338897733e-05
16;9;1.42645212827e-05
16;10;1.57908034361e-05
16;11;1.64322334692e-05
16;12;1.47759959021e-05
16;13;1.71358069823e-05
16;14;1.6438716465e-05
16;15;1.80063382311e-05
16;16;2.0475020475e-05
16;17;1.73042314614e-05
16;18;1.64264750975e-05
16;19;1.70671764063e-05
16;20;2.27589973903e-05
16;21;2.09485503603e-05
16;22;2.05030071077e-05
16;23;2.21225886378e-05
16;24;1.89815752177e-05
16;25;1.54365455069e-05
16;26;2.0577260755e-05
16;27;1.69760072431e-05
16;28;2.04862059547e-05
16;29;1.97680548234e-05
16;30;1.60208484641e-05
16;31;2.19016470039e-05
16;32;1.64524196025e-05
16;33;2.01602064405e-05
16;34;1.79563302049e-05
16;35;1.60276958584e-05
16;36;1.91307009489e-05
16;37;2.36116358141e-05
16;38;2.36414071366e-05
16;39;2.33455767914e-05
16;40;1.96396773856e-05
16;41;2.0587427944e-05
16;42;1.89107413011e-05
16;43;1.89729319504e-05
16;44;1.80853629129e-05
16;45;1.74264603374e-05
16;46;1.62478336222e-05
16;47;1.75110903572e-05
16;48;2.23934073809e-05
16;49;2.25604620383e-05
16;50;1.83016105417e-05
16;51;2.04515706806e-05
16;52;1.92455735181e-05
16;53;1.83508686078e-05
16;54;1.33285942776e-05
16;55;2.1216407355e-05
16;56;2.1985108753e-05
16;57;2.22195887895e-05
16;58;2.263399324e-05
16;59;2.26681980294e-05
16;60;2.17001330941e-05
16;61;1.90008107013e-05
16;62;2.36996776844e-05
16;63;1.98801887293e-05
16;64;1.85763114876e-05
16;65;1.30484707192e-05
16;66;1.73844513467e-05
16;67;1.69262017603e-05
16;68;2.02429149798e-05
16;69;2.22776688647e-05
16;70;1.94764724213e-05
16;71;1.80827466487e-05
16;72;1.66076173605e-05
16;73;2.24148236701e-05
16;74;1.82056510341e-05
16;75;1.76628514907e-05
16;76;2.02156334232e-05
16;77;2.14212270079e-05
16;78;1.83481749682e-05
16;79;1.6073035875e-05
16;80;1.60017068487e-05
16;81;1.73106217975e-05
16;82;1.68539325843e-05
16;83;1.86002678439e-05
16;84;1.40124056498e-05
16;85;2.10768884892e-05
16;86;2.1241644953e-05
16;87;1.93249162587e-05
16;88;1.79925151137e-05
16;89;1.84729064039e-05
16;90;2.1548008964e-05
16;91;1.86289120715e-05
16;92;1.64300736067e-05
16;93;2.21749157353e-05
16;94;1.5873015873e-05
16;95;2.1173282141e-05
16;96;2.07285390526e-05
16;97;1.9381848253e-05
16;98;1.80392534154e-05
16;99;1.73426444064e-05
32;0;1.23100154286e-05
32;1;1.44497533909e-05
32;2;1.48508969942e-05
32;3;1.09221180171e-05
32;4;1.33281205573e-05
32;5;1.42835377466e-05
32;6;1.4650726676e-05
32;7;1.21241513094e-05
32;8;1.42385237499e-05
32;9;1.32112031002e-05
32;10;1.09425153195e-05
32;11;1.20745725601e-05
32;12;1.32691695269e-05
32;13;1.29025598679e-05
32;14;1.50584266956e-05
32;15;1.43381509521e-05
32;16;1.42715786269e-05
32;17;1.5760938091e-05
32;18;1.51551891368e-05
32;19;1.42900693545e-05
32;20;1.36145803079e-05
32;21;1.38868315805e-05
32;22;1.43584638358e-05
32;23;1.14812320127e-05
32;24;1.20792398132e-05
32;25;1.09674777726e-05
32;26;1.03254584504e-05
32;27;1.11233055498e-05
32;28;1.6022902068e-05
32;29;1.62569905059e-05
32;30;1.57147047731e-05
32;31;1.56621977196e-05
32;32;1.27838003682e-05
32;33;1.39768915393e-05
32;34;1.45925752977e-05
32;35;1.48969133596e-05
32;36;1.50409112787e-05
32;37;1.20555519835e-05
32;38;1.26262626263e-05
32;39;1.45168782905e-05
32;40;1.2789032126e-05
32;41;1.27746550843e-05
32;42;1.41578887756e-05
32;43;1.21057558834e-05
32;44;1.17143571161e-05
32;45;1.25889619981e-05
32;46;1.47859001656e-05
32;47;1.43992627577e-05
32;48;1.28945739633e-05
32;49;1.28495065789e-05
32;50;1.29430849412e-05
32;51;1.23116320299e-05
32;52;1.48444303697e-05
32;53;1.34514671067e-05
32;54;1.25868492599e-05
32;55;1.22781743173e-05
32;56;1.49545382039e-05
32;57;1.52507218675e-05
32;58;1.16858834528e-05
32;59;1.15833693705e-05
32;60;1.24883442121e-05
32;61;1.07848494435e-05
32;62;1.30675680385e-05
32;63;1.37559150435e-05
32;64;1.31394533987e-05
32;65;1.1623581923e-05
32;66;1.28618466182e-05
32;67;1.3098148795e-05
32;68;1.35330205702e-05
32;69;1.44486399014e-05
32;70;1.36363636364e-05
32;71;1.47440434065e-05
32;72;1.61847216228e-05
32;73;1.23282267079e-05
32;74;1.16318744378e-05
32;75;1.1914217633e-05
32;76;1.2677484787e-05
32;77;1.24250356184e-05
32;78;1.16546494281e-05
32;79;1.20385232745e-05
32;80;1.52569266447e-05
32;81;1.11249555002e-05
32;82;1.30498329621e-05
32;83;1.6261220242e-05
32;84;1.22617140241e-05
32;85;1.44614554009e-05
32;86;1.45118222979e-05
32;87;1.28459852014e-05
32;88;1.33186532178e-05
32;89;1.34206570754e-05
32;90;1.53707423044e-05
32;91;1.12914395833e-05
32;92;1.34307510476e-05
32;93;1.19362128784e-05
32;94;1.28051903705e-05
32;95;1.35496459026e-05
32;96;1.56373795922e-05
32;97;1.37533925035e-05
32;98;1.25944584383e-05
32;99;1.22553024609e-05
