NB_Thread;Run_ID;Acc
2;0;0.000306591722024
2;1;0.000322026620867
2;2;0.000350959288723
2;3;0.000261005742126
2;4;0.000222255148911
2;5;0.000322615334982
2;6;0.000280138201513
2;7;0.000226210224702
2;8;0.000300360432519
2;9;0.000209102948352
2;10;0.000168823860439
2;11;0.00020366598778
2;12;0.000204012240734
2;13;0.000155900847061
2;14;0.000185551707076
2;15;0.000183430143687
2;16;0.000256213169357
2;17;0.000188869302443
2;18;0.000151339353276
2;19;0.000202798620969
2;20;0.000191852657159
2;21;0.000182837640176
2;22;0.000189370029037
2;23;0.000145362922764
2;24;0.000206369952535
2;25;0.000192233756248
2;26;0.000167757087737
2;27;0.000176886792453
2;28;0.000187020759304
2;29;0.000186520765979
2;30;0.000271714518612
2;31;0.000152897405841
2;32;0.0001457938475
2;33;0.000184877056757
2;34;0.000222386953299
2;35;0.000196631054598
2;36;0.000191338733338
2;37;0.000175469380593
2;38;0.000193498452012
2;39;0.000221287895552
2;40;0.000191094974202
2;41;0.000221582096167
2;42;0.00017049329393
2;43;0.000149083138697
2;44;0.000203086921202
2;45;0.000214056368177
2;46;0.000161524794056
2;47;0.000176657637499
2;48;0.0001982160555
2;49;0.000205100157243
2;50;0.000205044084478
2;51;0.000192616372392
2;52;0.000156707062265
2;53;0.000188964474679
2;54;0.000210408191892
2;55;0.00018908357494
2;56;0.00013848497438
2;57;0.000193398659103
2;58;0.000172950536147
2;59;0.000202156334232
2;60;0.000284468044756
2;61;0.000237341772152
2;62;0.00019436345967
2;63;0.000210113461269
2;64;0.000145011600928
2;65;0.000180277627546
2;66;0.000175911809546
2;67;0.000183027271063
2;68;0.0001499850015
2;69;0.000186660029866
2;70;0.000176283934657
2;71;0.000201328769881
2;72;0.000217296827466
2;73;0.000199893390192
2;74;0.00018435445216
2;75;0.000211401592559
2;76;0.000181028240406
2;77;0.000169185653057
2;78;0.000180375180375
2;79;0.000183295655893
2;80;0.000176657637499
2;81;0.000185586142901
2;82;0.000159379482548
2;83;0.000156168662155
2;84;0.000186346978073
2;85;0.000334373606777
2;86;0.000353440150801
2;87;0.00030737704918
2;88;0.00033583342662
2;89;0.00033017829628
2;90;0.000322997416021
2;91;0.000302327925023
2;92;0.000224349386778
2;93;0.000299580587178
2;94;0.000252143217347
2;95;0.000204012240734
2;96;0.00013895965538
2;97;0.000195618153365
2;98;0.00021017234132
2;99;0.00017832729002
4;0;0.000164717509471
4;1;0.000161082474227
4;2;0.000146871634192
4;3;0.000284468044756
4;4;0.000205507603781
4;5;0.000164672302119
4;6;0.000143013776994
4;7;0.000190560884203
4;8;0.000159940288959
4;9;0.000139224057917
4;10;0.000142768762195
4;11;0.000205465379084
4;12;0.000165562913907
4;13;0.000147507129511
4;14;0.000254950284694
4;15;0.000177221172023
4;16;0.000148338607595
4;17;0.000143623132899
4;18;0.000226911731337
4;19;0.000168681473152
4;20;0.000208217656857
4;21;0.00014800197336
4;22;0.000178348492955
4;23;0.000314465408805
4;24;0.000209394848887
4;25;0.000168577208361
4;26;0.000163469921534
4;27;0.000186416454359
4;28;0.000163550128114
4;29;0.000148824288124
4;30;0.000213812272824
4;31;0.000189969604863
4;32;0.000234100663285
