Taille_mat;Run_ID;Eff
100000;0;0.09375
100000;1;0.125
100000;2;0.125
100000;3;0.125
100000;4;0.125
100000;5;0.125
100000;6;0.125
100000;7;0.125
100000;8;0.125
100000;9;0.125
100000;10;0.125
100000;11;0.125
100000;12;0.075
100000;13;0.125
100000;14;0.125
100000;15;0.125
100000;16;0.125
100000;17;0.125
100000;18;0.125
100000;19;0.125
100000;20;0.125
100000;21;0.125
100000;22;0.125
100000;23;0.125
100000;24;0.125
100000;25;0.125
100000;26;0.125
100000;27;0.125
100000;28;0.125
100000;29;0.09375
100000;30;0.125
100000;31;0.125
100000;32;0.125
100000;33;0.075
100000;34;0.125
100000;35;0.125
100000;36;0.125
100000;37;0.125
100000;38;0.125
100000;39;0.125
100000;40;0.125
100000;41;0.125
100000;42;0.125
100000;43;0.125
100000;44;0.09375
100000;45;0.125
100000;46;0.125
100000;47;0.125
100000;48;0.09375
100000;49;0.125
100000;50;0.125
100000;51;0.125
100000;52;0.125
100000;53;0.125
100000;54;0.125
100000;55;0.125
100000;56;0.125
100000;57;0.125
100000;58;0.125
100000;59;0.125
100000;60;0.125
100000;61;0.125
100000;62;0.125
100000;63;0.125
100000;64;0.125
100000;65;0.09375
100000;66;0.125
100000;67;0.125
100000;68;0.125
100000;69;0.125
100000;70;0.125
100000;71;0.125
100000;72;0.125
100000;73;0.125
100000;74;0.125
100000;75;0.125
100000;76;0.125
100000;77;0.125
100000;78;0.125
100000;79;0.125
100000;80;0.125
100000;81;0.125
100000;82;0.125
100000;83;0.09375
100000;84;0.125
100000;85;0.125
100000;86;0.125
100000;87;0.125
100000;88;0.125
100000;89;0.125
100000;90;0.125
100000;91;0.125
100000;92;0.125
100000;93;0.125
100000;94;0.125
100000;95;0.125
100000;96;0.125
100000;97;0.125
100000;98;0.125
100000;99;0.125
1000000;0;0.125
1000000;1;0.121428571429
1000000;2;0.125
1000000;3;0.121428571429
1000000;4;0.125
1000000;5;0.125
1000000;6;0.118055555556
1000000;7;0.121428571429
1000000;8;0.125
1000000;9;0.121428571429
1000000;10;0.125
1000000;11;0.125
1000000;12;0.128787878788
1000000;13;0.121428571429
1000000;14;0.125
1000000;15;0.125
1000000;16;0.121428571429
1000000;17;0.125
1000000;18;0.118055555556
1000000;19;0.128787878788
1000000;20;0.114864864865
1000000;21;0.125
1000000;22;0.121428571429
1000000;23;0.118055555556
1000000;24;0.121428571429
1000000;25;0.125
1000000;26;0.118055555556
1000000;27;0.125
1000000;28;0.125
1000000;29;0.125
1000000;30;0.121428571429
1000000;31;0.128787878788
1000000;32;0.125
1000000;33;0.125
1000000;34;0.125
1000000;35;0.125
1000000;36;0.125
1000000;37;0.118055555556
1000000;38;0.125
1000000;39;0.125
1000000;40;0.10119047619
1000000;41;0.125
1000000;42;0.125
1000000;43;0.125
1000000;44;0.125
1000000;45;0.125
1000000;46;0.125
1000000;47;0.121428571429
1000000;48;0.125
1000000;49;0.121428571429
1000000;50;0.121428571429
1000000;51;0.125
1000000;52;0.121428571429
1000000;53;0.125
1000000;54;0.125
1000000;55;0.10119047619
1000000;56;0.125
1000000;57;0.118055555556
1000000;58;0.125
1000000;59;0.125
1000000;60;0.121428571429
1000000;61;0.125
1000000;62;0.125
1000000;63;0.125
1000000;64;0.125
1000000;65;0.121428571429
1000000;66;0.118055555556
1000000;67;0.125
1000000;68;0.121428571429
1000000;69;0.125
1000000;70;0.125
1000000;71;0.125
1000000;72;0.118055555556
1000000;73;0.125
1000000;74;0.125
1000000;75;0.125
1000000;76;0.125
1000000;77;0.125
1000000;78;0.114864864865
1000000;79;0.118055555556
1000000;80;0.114864864865
1000000;81;0.118055555556
1000000;82;0.114864864865
1000000;83;0.114864864865
1000000;84;0.114864864865
1000000;85;0.114864864865
1000000;86;0.108974358974
1000000;87;0.114864864865
1000000;88;0.111842105263
1000000;89;0.118055555556
1000000;90;0.111842105263
1000000;91;0.108974358974
1000000;92;0.114864864865
1000000;93;0.10625
1000000;94;0.114864864865
1000000;95;0.111842105263
1000000;96;0.125
1000000;97;0.125
1000000;98;0.125
1000000;99;0.121428571429
10000000;0;0.082671957672
